Year:year,"Global mean sea level (reconstruction, CSIRO):number",Uncertainty range 1 (mm):number,Uncertainty high CW:number,Uncertainty low CW:number,"Global mean sea level (reconstruction, DMW):number",Uncertainty range 2 (mm):number,Uncertainty high D:number,Uncertainty low D:number,"Global mean sea level (satellite altimeter, CMEMS) :number"
1880,-192.35,24.2,-168.15,-216.55,,,,,
1881,-186.75,24.2,-162.55,-210.95,,,,,
1882,-203.55,23.0,-180.55,-226.55,,,,,
1883,-198.25,22.8,-175.45,-221.05,,,,,
1884,-177.35,22.2,-155.15,-199.55,,,,,
1885,-178.85,21.9,-156.95,-200.75,,,,,
1886,-181.25,20.8,-160.45,-202.05,,,,,
1887,-186.85,20.8,-166.05,-207.65,,,,,
1888,-184.75,20.8,-163.95,-205.55,,,,,
1889,-183.15,20.8,-162.35,-203.95,,,,,
1890,-181.15,20.7,-160.45,-201.85,,,,,
1891,-182.85,20.7,-162.15,-203.55,,,,,
1892,-179.65,20.7,-158.95,-200.35,,,,,
1893,-174.95,20.3,-154.65,-195.25,,,,,
1894,-184.65,21.6,-163.05,-206.25,,,,,
1895,-172.85,21.6,-151.25,-194.45,,,,,
1896,-180.45,21.2,-159.25,-201.65,,,,,
1897,-175.25,20.8,-154.45,-196.05,,,,,
1898,-165.85,19.7,-146.15,-185.55,,,,,
1899,-158.35,19.4,-138.95,-177.75,,,,,
1900,-163.75,18.3,-145.45,-182.05,-143.43,25.67,-117.76,-169.11,
1901,-164.15,17.6,-146.55,-181.75,-142.36,25.5,-116.86,-167.87,
1902,-159.55,17.3,-142.25,-176.85,-140.09,25.39,-114.7,-165.48,
1903,-151.55,17.0,-134.55,-168.55,-139.73,25.19,-114.54,-164.92,
1904,-161.85,16.9,-144.95,-178.75,-137.72,25.04,-112.68,-162.75,
1905,-167.35,15.4,-151.95,-182.75,-135.58,24.89,-110.69,-160.47,
1906,-160.55,14.7,-145.85,-175.25,-135.42,24.73,-110.68,-160.15,
1907,-161.95,14.9,-147.05,-176.85,-133.21,24.62,-108.59,-157.83,
1908,-164.45,14.5,-149.95,-178.95,-131.56,24.43,-107.13,-155.99,
1909,-159.95,14.6,-145.35,-174.55,-131.93,24.29,-107.64,-156.22,
1910,-160.05,14.6,-145.45,-174.65,-131.02,24.17,-106.85,-155.19,
1911,-151.75,14.2,-137.55,-165.95,-128.04,24.02,-104.02,-152.06,
1912,-154.85,14.2,-140.65,-169.05,-127.2,23.87,-103.33,-151.06,
1913,-153.05,14.1,-138.95,-167.15,-126.14,23.73,-102.41,-149.86,
1914,-146.75,13.8,-132.95,-160.55,-124.89,23.56,-101.33,-148.45,
1915,-138.85,13.6,-125.25,-152.45,-123.08,23.41,-99.67,-146.49,
1916,-140.75,13.0,-127.75,-153.75,-123.84,23.26,-100.57,-147.1,
1917,-145.25,12.8,-132.45,-158.05,-123.1,23.12,-99.99,-146.22,
1918,-146.85,12.7,-134.15,-159.55,-120.34,22.96,-97.38,-143.31,
1919,-145.25,12.7,-132.55,-157.95,-119.28,22.83,-96.46,-142.11,
1920,-143.95,13.0,-130.95,-156.95,-119.5,22.68,-96.82,-142.18,
1921,-141.85,13.1,-128.75,-154.95,-119.5,22.53,-96.96,-142.03,
1922,-142.75,13.2,-129.55,-155.95,-117.35,22.39,-94.96,-139.74,
1923,-141.55,13.0,-128.55,-154.55,-116.48,22.24,-94.24,-138.72,
1924,-148.85,13.1,-135.75,-161.95,-116.18,22.09,-94.09,-138.27,
1925,-146.85,13.6,-133.25,-160.45,-114.83,21.95,-92.87,-136.78,
1926,-140.35,13.7,-126.65,-154.05,-114.65,21.83,-92.82,-136.48,
1927,-141.45,12.9,-128.55,-154.35,-113.97,21.65,-92.32,-135.62,
1928,-145.35,12.3,-133.05,-157.65,-112.08,21.5,-90.58,-133.58,
1929,-143.95,12.1,-131.85,-156.05,-109.69,21.35,-88.34,-131.04,
1930,-139.95,12.0,-127.95,-151.95,-108.29,21.19,-87.1,-129.48,
1931,-140.35,12.2,-128.15,-152.55,-108.52,21.04,-87.48,-129.56,
1932,-134.65,11.9,-122.75,-146.55,-107.1,20.89,-86.21,-127.99,
1933,-130.35,11.8,-118.55,-142.15,-105.76,20.74,-85.01,-126.5,
1934,-135.75,11.9,-123.85,-147.65,-103.66,20.59,-83.07,-124.25,
1935,-130.15,11.9,-118.25,-142.05,-100.31,20.44,-79.87,-120.74,
1936,-134.05,11.8,-122.25,-145.85,-98.66,20.29,-78.37,-118.95,
1937,-128.35,11.8,-116.55,-140.15,-97.03,20.13,-76.9,-117.17,
1938,-125.75,11.8,-113.95,-137.55,-95.0,19.98,-75.02,-114.98,
1939,-120.55,12.2,-108.35,-132.75,-91.96,19.82,-72.14,-111.78,
1940,-125.85,11.1,-114.75,-136.95,-89.99,19.67,-70.32,-109.66,
1941,-113.65,10.8,-102.85,-124.45,-87.61,19.52,-68.09,-107.13,
1942,-113.65,10.8,-102.85,-124.45,-85.98,19.4,-66.59,-105.38,
1943,-113.65,10.8,-102.85,-124.45,-85.05,19.21,-65.84,-104.26,
1944,-120.05,10.7,-109.35,-130.75,-82.74,19.04,-63.7,-101.78,
1945,-117.25,10.7,-106.55,-127.95,-80.89,18.88,-62.0,-99.77,
