year,disasterno
2009,2009-0631
2001,2001-0146
2009,2009-0092
2010,2010-0105
1995,1995-0082
1996,1996-0086
1997,1997-0114
2000,2000-0373
2004,2004-0470
2006,2006-0262
2009,2009-0157
2012,2012-0385
2011,2011-0012
2006,2006-0039
2004,2004-0169
2004,2004-0163
2005,2005-0695
2009,2009-0081
2010,2010-0252
2010,2010-0619
2014,2014-0164
2013,2013-0003
2013,2013-0077
2003,2003-0511
2005,2005-0591
2006,2006-0203
2008,2008-0170
2002,2002-0546
2008,2008-0229
2008,2008-0389
1995,1995-0103
2006,2006-0578
2008,2008-0517
2001,2001-0229
2014,2014-0488
1994,1994-0543
2003,2003-0044
2006,2006-0560
2002,2002-0321
2006,2006-0651
2009,2009-0198
2011,2011-0383
2012,2012-0410
1981,1981-0110
1982,1982-0147
1986,1986-0042
1989,1989-0122
1994,1994-0009
1994,1994-0037
1997,1997-0013
1997,1997-0020
2000,2000-0107
2000,2000-0178
2002,2002-0281
2003,2003-0218
2004,2004-0103
2007,2007-0032
2008,2008-0070
2009,2009-0047
2009,2009-0137
2010,2010-0104
2011,2011-0057
2012,2012-0043
2013,2013-0032
2015,2015-0016
2001,2001-0019
2007,2007-0614
2001,2001-0746
2008,2008-0184
2010,2010-0554
2011,2011-0400
1986,1986-0224
1993,1993-0052
1995,1995-0105
1996,1996-0107
1998,1998-0221
2003,2003-0341
2004,2004-0298
2005,2005-0556
2007,2007-0307
2008,2008-0431
2009,2009-0434
2010,2010-0333
2010,2010-0452
2013,2013-0456
2013,2013-0576
2014,2014-0246
2014,2014-0272
1993,1993-0041
1999,1999-0178
2002,2002-0543
2003,2003-0359
2005,2005-0079
2005,2005-0170
2005,2005-0360
2010,2010-0053
2010,2010-0341
2011,2011-0347
2014,2014-0343
2015,2015-0199
2006,2006-0563
2010,2010-0281
2011,2011-0367
2001,2001-0541
2012,2012-0469
2001,2001-0109
2011,2011-0535
1994,1994-0044
1996,1996-0148
2009,2009-0428
2013,2013-0441
2002,2002-0004
2005,2005-0048
