Gas,Year,Data
CH[4],1830,2159.743408271078
CH[4],1831,2173.4177875908645
CH[4],1832,2188.7073913114477
CH[4],1833,2204.1849531977755
CH[4],1834,2220.083794970833
CH[4],1835,2235.389363505451
CH[4],1836,2255.402065608904
CH[4],1837,2270.0102027043126
CH[4],1838,2285.973972611034
CH[4],1839,2301.5626981393416
CH[4],1840,2318.203546217592
CH[4],1841,2332.2136266808957
CH[4],1842,2346.6333339772245
CH[4],1843,2360.2823391270276
CH[4],1844,2375.0664104281145
CH[4],1845,2391.982588318643
CH[4],1846,2403.7078967515376
CH[4],1847,2420.8244364031757
CH[4],1848,2432.5544987103576
CH[4],1849,2447.957866655446
CH[4],1850,2464.5662037666293
CH[4],1851,2473.985679752201
CH[4],1852,2487.1373575159682
CH[4],1853,2501.9019350261606
CH[4],1854,2526.023510145021
CH[4],1855,2538.845608159113
CH[4],1856,2555.7516101602146
CH[4],1857,2567.5376397911514
CH[4],1858,2578.972636524949
CH[4],1859,2596.782659795299
CH[4],1860,2617.8365535721205
CH[4],1861,2634.275273793631
CH[4],1862,2647.229520109472
CH[4],1863,2669.0643525270566
CH[4],1864,2689.709156872802
CH[4],1865,2708.9608027905233
CH[4],1866,2729.0516306702416
CH[4],1867,2744.8827163523497
CH[4],1868,2758.5648621446653
CH[4],1869,2778.4258602780674
CH[4],1870,2792.4511546027834
CH[4],1871,2819.1780904310726
CH[4],1872,2855.502575987022
CH[4],1873,2885.4053123276317
CH[4],1874,2895.6362358436722
CH[4],1875,2927.2348125288772
CH[4],1876,2948.7576530028077
CH[4],1877,2971.694914748876
CH[4],1878,2992.120512944724
CH[4],1879,3022.574701989042
CH[4],1880,3064.5311397707287
CH[4],1881,3099.322004605445
CH[4],1882,3134.798045127238
CH[4],1883,3173.402236327263
CH[4],1884,3197.654765631668
CH[4],1885,3221.668040363352
CH[4],1886,3248.0047672670016
CH[4],1887,3284.492682470819
CH[4],1888,3333.418513879417
CH[4],1889,3358.2619683388093
CH[4],1890,3409.109854086762
CH[4],1891,3446.5560212454156
CH[4],1892,3472.504412773763
CH[4],1893,3488.193041734845
CH[4],1894,3526.7813904453947
CH[4],1895,3571.772043975514
CH[4],1896,3604.952007234173
CH[4],1897,3646.9714885228923
CH[4],1898,3691.2422419420677
CH[4],1899,3752.139919485951
CH[4],1900,3803.6498429448184
CH[4],1901,3844.6542749231166
CH[4],1902,3879.848748645691
CH[4],1903,3947.5229091498304
CH[4],1904,3978.915446114107
CH[4],1905,4029.538081900352
CH[4],1906,4092.788059485555
CH[4],1907,4190.842036751286
CH[4],1908,4193.313521202709
CH[4],1909,4250.654757665409
CH[4],1910,4305.51985175026
CH[4],1911,4349.83135741877
CH[4],1912,4398.6872625576225
CH[4],1913,4480.982394935061
CH[4],1914,4435.331197313608
CH[4],1915,4456.865257589012
CH[4],1916,4539.641355297375
CH[4],1917,4602.179610475461
CH[4],1918,4589.839277759536
CH[4],1919,4533.973073034242
CH[4],1920,4659.567044277435
CH[4],1921,4581.39865191018
CH[4],1922,4678.020680616887
CH[4],1923,4830.714424970291
CH[4],1924,4886.6980091546375
CH[4],1925,4933.420587464945
CH[4],1926,4951.458715463532
CH[4],1927,5092.322066746601
CH[4],1928,5126.606446621644
CH[4],1929,5239.596188737522
CH[4],1930,5247.108862929864
CH[4],1931,5223.7769717822075
CH[4],1932,5219.8360044455385
CH[4],1933,5305.791831134596
CH[4],1934,5433.33277495213
CH[4],1935,5532.205615904831
CH[4],1936,5685.7120885276845
CH[4],1937,5809.021447370263
CH[4],1938,5828.066150334107
CH[4],1939,5941.178979429895
CH[4],1940,6070.442544789916
CH[4],1941,6173.851430161892
CH[4],1942,6247.325309091042
CH[4],1943,6372.050591049812
CH[4],1944,6467.471249246084
CH[4],1945,6415.741646427395
CH[4],1946,6609.91459606117
CH[4],1947,6833.88476080179
CH[4],1948,6946.106953291312
CH[4],1949,7043.335665891758
CH[4],1950,7225.816216827626
CH[4],1951,7469.0254926521775
CH[4],1952,7642.517477757587
CH[4],1953,7839.434110215674
CH[4],1954,8056.352533484581
CH[4],1955,8447.34193846341
CH[4],1956,8725.31060929759
CH[4],1957,8999.494971591177
CH[4],1958,9209.235500555023
CH[4],1959,9626.339361477203
CH[4],1960,9899.886133248336
CH[4],1961,10012.571712760606
CH[4],1962,10188.20775081184
CH[4],1963,10451.467125267369
CH[4],1964,10678.740347394489
CH[4],1965,10981.563357460085
CH[4],1966,11403.857340640892
CH[4],1967,11567.781539152744
CH[4],1968,11779.94997129573
CH[4],1969,12110.998351831484
CH[4],1970,12388.878629041019
CH[4],1971,12432.235347703569
CH[4],1972,12696.3308047821
CH[4],1973,13015.940751882707
CH[4],1974,13090.847709063533
CH[4],1975,13294.201413711693
CH[4],1976,13492.146337203154
CH[4],1977,13680.980477666024
CH[4],1978,13761.535092372796
CH[4],1979,14115.51511479774
CH[4],1980,14073.997385509178
