,Country,ISO3,Gas,Component,Year,Data,Unit
130192,GLOBAL,GLOBAL,CH[4],Fossil,1830,12.4301632957498,Tg~CH[4]~year^-1
130193,GLOBAL,GLOBAL,CH[4],Fossil,1831,12.4960284025644,Tg~CH[4]~year^-1
130194,GLOBAL,GLOBAL,CH[4],Fossil,1832,12.5908399468245,Tg~CH[4]~year^-1
130195,GLOBAL,GLOBAL,CH[4],Fossil,1833,12.6890201437179,Tg~CH[4]~year^-1
130196,GLOBAL,GLOBAL,CH[4],Fossil,1834,12.7947498153149,Tg~CH[4]~year^-1
130197,GLOBAL,GLOBAL,CH[4],Fossil,1835,12.8898477818832,Tg~CH[4]~year^-1
130198,GLOBAL,GLOBAL,CH[4],Fossil,1836,13.069302763642,Tg~CH[4]~year^-1
130199,GLOBAL,GLOBAL,CH[4],Fossil,1837,13.1519017824704,Tg~CH[4]~year^-1
130200,GLOBAL,GLOBAL,CH[4],Fossil,1838,13.2587952735043,Tg~CH[4]~year^-1
130201,GLOBAL,GLOBAL,CH[4],Fossil,1839,13.3589673862595,Tg~CH[4]~year^-1
130202,GLOBAL,GLOBAL,CH[4],Fossil,1840,13.4779948976341,Tg~CH[4]~year^-1
130203,GLOBAL,GLOBAL,CH[4],Fossil,1841,13.581329661971,Tg~CH[4]~year^-1
130204,GLOBAL,GLOBAL,CH[4],Fossil,1842,13.6920053269415,Tg~CH[4]~year^-1
130205,GLOBAL,GLOBAL,CH[4],Fossil,1843,13.7888691835129,Tg~CH[4]~year^-1
130206,GLOBAL,GLOBAL,CH[4],Fossil,1844,13.9060747807093,Tg~CH[4]~year^-1
130207,GLOBAL,GLOBAL,CH[4],Fossil,1845,14.0614901235813,Tg~CH[4]~year^-1
130208,GLOBAL,GLOBAL,CH[4],Fossil,1846,14.1238792773582,Tg~CH[4]~year^-1
130209,GLOBAL,GLOBAL,CH[4],Fossil,1847,14.2828851063249,Tg~CH[4]~year^-1
130210,GLOBAL,GLOBAL,CH[4],Fossil,1848,14.3453593571595,Tg~CH[4]~year^-1
130211,GLOBAL,GLOBAL,CH[4],Fossil,1849,14.4736634903187,Tg~CH[4]~year^-1
130212,GLOBAL,GLOBAL,CH[4],Fossil,1850,14.6235618324848,Tg~CH[4]~year^-1
130213,GLOBAL,GLOBAL,CH[4],Fossil,1851,14.6434884842896,Tg~CH[4]~year^-1
130214,GLOBAL,GLOBAL,CH[4],Fossil,1852,14.7303003500242,Tg~CH[4]~year^-1
130215,GLOBAL,GLOBAL,CH[4],Fossil,1853,14.8460170863135,Tg~CH[4]~year^-1
130216,GLOBAL,GLOBAL,CH[4],Fossil,1854,15.1294220955705,Tg~CH[4]~year^-1
130217,GLOBAL,GLOBAL,CH[4],Fossil,1855,15.2103274707782,Tg~CH[4]~year^-1
130218,GLOBAL,GLOBAL,CH[4],Fossil,1856,15.3644210892908,Tg~CH[4]~year^-1
130219,GLOBAL,GLOBAL,CH[4],Fossil,1857,15.4267590453013,Tg~CH[4]~year^-1
130220,GLOBAL,GLOBAL,CH[4],Fossil,1858,15.4828059029326,Tg~CH[4]~year^-1
130221,GLOBAL,GLOBAL,CH[4],Fossil,1859,15.6531006492404,Tg~CH[4]~year^-1
130222,GLOBAL,GLOBAL,CH[4],Fossil,1860,15.8815293390944,Tg~CH[4]~year^-1
130223,GLOBAL,GLOBAL,CH[4],Fossil,1861,16.0084428293461,Tg~CH[4]~year^-1
130224,GLOBAL,GLOBAL,CH[4],Fossil,1862,16.072910445674,Tg~CH[4]~year^-1
130225,GLOBAL,GLOBAL,CH[4],Fossil,1863,16.2965285971606,Tg~CH[4]~year^-1
130226,GLOBAL,GLOBAL,CH[4],Fossil,1864,16.498819868933,Tg~CH[4]~year^-1
130227,GLOBAL,GLOBAL,CH[4],Fossil,1865,16.6761442957265,Tg~CH[4]~year^-1
130228,GLOBAL,GLOBAL,CH[4],Fossil,1866,16.8685077794936,Tg~CH[4]~year^-1
130229,GLOBAL,GLOBAL,CH[4],Fossil,1867,16.9845316594717,Tg~CH[4]~year^-1
130230,GLOBAL,GLOBAL,CH[4],Fossil,1868,17.0620443606707,Tg~CH[4]~year^-1
130231,GLOBAL,GLOBAL,CH[4],Fossil,1869,17.2502889392998,Tg~CH[4]~year^-1
130232,GLOBAL,GLOBAL,CH[4],Fossil,1870,17.3339510765159,Tg~CH[4]~year^-1
130233,GLOBAL,GLOBAL,CH[4],Fossil,1871,17.5268082628248,Tg~CH[4]~year^-1
130234,GLOBAL,GLOBAL,CH[4],Fossil,1872,17.8916641792989,Tg~CH[4]~year^-1
130235,GLOBAL,GLOBAL,CH[4],Fossil,1873,18.1414350730849,Tg~CH[4]~year^-1
130236,GLOBAL,GLOBAL,CH[4],Fossil,1874,18.0386647836319,Tg~CH[4]~year^-1
130237,GLOBAL,GLOBAL,CH[4],Fossil,1875,18.318827001005,Tg~CH[4]~year^-1
130238,GLOBAL,GLOBAL,CH[4],Fossil,1876,18.4184206542909,Tg~CH[4]~year^-1
130239,GLOBAL,GLOBAL,CH[4],Fossil,1877,18.5433623734699,Tg~CH[4]~year^-1
130240,GLOBAL,GLOBAL,CH[4],Fossil,1878,18.623292048585,Tg~CH[4]~year^-1
130241,GLOBAL,GLOBAL,CH[4],Fossil,1879,18.882945763625,Tg~CH[4]~year^-1
130242,GLOBAL,GLOBAL,CH[4],Fossil,1880,19.348732957188,Tg~CH[4]~year^-1
130243,GLOBAL,GLOBAL,CH[4],Fossil,1881,19.5962444197031,Tg~CH[4]~year^-1
