,Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
0,1880,-0.17,-0.29,-0.04,-0.37,-0.12,-0.02,-0.8,-0.48,-0.29,-0.16,-0.09,-0.04,0.05,0.66
1,1881,-0.08,-0.18,0.01,-0.35,0.11,-0.07,-0.91,-0.43,-0.21,0.09,0.12,-0.05,-0.07,0.58
2,1882,-0.11,-0.22,-0.01,-0.31,-0.04,0.01,-1.41,-0.26,-0.17,-0.06,-0.03,0.01,0.04,0.61
3,1883,-0.17,-0.29,-0.06,-0.35,-0.16,-0.01,-0.19,-0.54,-0.28,-0.18,-0.14,-0.04,0.07,0.49
4,1884,-0.28,-0.43,-0.14,-0.6,-0.14,-0.14,-1.3,-0.62,-0.48,-0.13,-0.15,-0.19,-0.02,0.64
5,1885,-0.33,-0.43,-0.24,-0.65,-0.13,-0.27,-1.5,-0.66,-0.47,-0.07,-0.18,-0.34,-0.15,0.81
6,1886,-0.31,-0.43,-0.19,-0.57,-0.19,-0.21,-1.58,-0.49,-0.41,-0.21,-0.17,-0.2,-0.2,0.58
7,1887,-0.36,-0.44,-0.28,-0.53,-0.29,-0.28,-1.76,-0.5,-0.31,-0.3,-0.29,-0.28,-0.26,0.31
8,1888,-0.17,-0.23,-0.11,-0.42,0.11,-0.29,-1.29,-0.42,-0.26,0.07,0.15,-0.31,-0.23,0.15
9,1889,-0.1,-0.17,-0.03,-0.29,0.09,-0.16,-0.67,-0.21,-0.28,0.02,0.16,-0.15,-0.15,0.44
10,1890,-0.35,-0.38,-0.32,-0.45,-0.36,-0.23,-1.14,-0.55,-0.27,-0.27,-0.46,-0.18,-0.27,0.14
11,1891,-0.22,-0.26,-0.19,-0.43,-0.07,-0.22,-1.12,-0.34,-0.37,0.0,-0.15,-0.18,-0.24,-0.17
12,1892,-0.27,-0.4,-0.15,-0.44,-0.29,-0.08,-1.13,-0.65,-0.18,-0.34,-0.25,0.02,-0.21,0.08
13,1893,-0.31,-0.47,-0.15,-0.51,-0.36,-0.05,-0.65,-0.55,-0.48,-0.42,-0.29,0.07,-0.2,-0.05
14,1894,-0.3,-0.38,-0.21,-0.32,-0.33,-0.24,-0.9,-0.32,-0.19,-0.48,-0.17,-0.15,-0.35,-0.39
15,1895,-0.22,-0.3,-0.15,-0.4,-0.07,-0.26,-0.63,-0.52,-0.28,-0.14,0.01,-0.2,-0.32,-0.59
16,1896,-0.11,-0.19,-0.03,-0.34,0.1,-0.16,-0.82,-0.36,-0.23,0.05,0.16,-0.16,-0.13,0.24
17,1897,-0.11,-0.16,-0.05,-0.35,0.17,-0.24,-0.5,-0.46,-0.25,0.13,0.22,-0.2,-0.27,0.39
18,1898,-0.27,-0.29,-0.26,-0.35,-0.22,-0.27,-1.13,-0.24,-0.24,-0.19,-0.25,-0.28,-0.21,0.37
19,1899,-0.17,-0.21,-0.14,-0.24,-0.11,-0.19,-1.0,-0.09,-0.15,-0.16,-0.07,-0.16,-0.22,0.57
20,1900,-0.08,-0.09,-0.06,-0.2,0.18,-0.3,-0.52,-0.15,-0.15,0.09,0.27,-0.29,-0.29,0.26
21,1901,-0.15,-0.12,-0.18,-0.16,-0.03,-0.31,-0.36,-0.1,-0.15,-0.06,0.0,-0.28,-0.34,0.25
22,1902,-0.27,-0.32,-0.22,-0.51,-0.03,-0.35,-1.28,-0.49,-0.32,-0.03,-0.04,-0.28,-0.43,-0.06
23,1903,-0.37,-0.37,-0.36,-0.45,-0.28,-0.39,-0.17,-0.41,-0.56,-0.24,-0.32,-0.36,-0.4,-0.5
24,1904,-0.47,-0.48,-0.46,-0.5,-0.46,-0.44,-0.12,-0.59,-0.55,-0.44,-0.48,-0.38,-0.49,-1.33
25,1905,-0.26,-0.29,-0.22,-0.4,-0.08,-0.36,-0.02,-0.22,-0.63,-0.12,-0.04,-0.33,-0.37,-0.34
26,1906,-0.22,-0.24,-0.21,-0.25,-0.19,-0.24,-0.24,-0.06,-0.4,-0.22,-0.16,-0.21,-0.22,-0.72
27,1907,-0.38,-0.47,-0.29,-0.58,-0.3,-0.29,-0.53,-0.71,-0.52,-0.31,-0.29,-0.21,-0.37,-1.21
28,1908,-0.43,-0.46,-0.4,-0.48,-0.44,-0.36,-0.19,-0.54,-0.52,-0.43,-0.44,-0.29,-0.48,0.67
29,1909,-0.48,-0.5,-0.47,-0.53,-0.48,-0.44,-0.71,-0.62,-0.45,-0.45,-0.51,-0.38,-0.52,-0.58
30,1910,-0.43,-0.44,-0.43,-0.41,-0.48,-0.38,-0.53,-0.24,-0.5,-0.48,-0.48,-0.33,-0.45,0.15
31,1911,-0.44,-0.42,-0.45,-0.42,-0.42,-0.48,-0.23,-0.42,-0.47,-0.43,-0.41,-0.44,-0.53,0.04
32,1912,-0.36,-0.46,-0.24,-0.59,-0.18,-0.37,-0.47,-0.79,-0.51,-0.27,-0.08,-0.37,-0.29,-1.64
33,1913,-0.34,-0.42,-0.26,-0.44,-0.27,-0.35,-0.46,-0.33,-0.51,-0.39,-0.14,-0.29,-0.4,-1.05
34,1914,-0.15,-0.19,-0.1,-0.24,-0.06,-0.18,-0.32,-0.16,-0.29,-0.11,0.0,-0.16,-0.18,-0.37
35,1915,-0.14,-0.14,-0.13,-0.23,-0.01,-0.22,-0.56,-0.17,-0.19,-0.02,0.0,-0.15,-0.23,-1.99
36,1916,-0.36,-0.42,-0.3,-0.37,-0.45,-0.23,-0.41,-0.54,-0.25,-0.5,-0.39,-0.23,-0.17,-1.06
37,1917,-0.46,-0.58,-0.36,-0.5,-0.63,-0.19,-0.78,-0.5,-0.44,-0.69,-0.57,-0.23,-0.09,0.05
38,1918,-0.29,-0.4,-0.2,-0.41,-0.33,-0.14,-0.98,-0.27,-0.35,-0.38,-0.27,-0.06,-0.23,-0.29
39,1919,-0.28,-0.35,-0.2,-0.44,-0.19,-0.23,-0.68,-0.56,-0.31,-0.23,-0.16,-0.15,-0.32,0.19
40,1920,-0.27,-0.3,-0.24,-0.25,-0.25,-0.33,0.02,-0.2,-0.35,-0.37,-0.12,-0.19,-0.48,-1.15
41,1921,-0.19,-0.11,-0.26,0.02,-0.25,-0.31,0.04,0.17,-0.09,-0.29,-0.2,-0.23,-0.38,-0.85
42,1922,-0.28,-0.27,-0.29,-0.24,-0.31,-0.28,-0.27,-0.4,-0.14,-0.32,-0.31,-0.25,-0.29,-0.29
43,1923,-0.26,-0.22,-0.31,-0.15,-0.29,-0.34,0.21,-0.15,-0.26,-0.32,-0.26,-0.27,-0.41,-0.55
44,1924,-0.27,-0.18,-0.35,-0.13,-0.25,-0.44,0.49,-0.25,-0.23,-0.26,-0.24,-0.4,-0.45,-0.54
45,1925,-0.22,-0.14,-0.3,-0.04,-0.23,-0.38,-0.05,0.18,-0.19,-0.28,-0.19,-0.25,-0.55,-0.87
46,1926,-0.11,0.02,-0.21,0.03,0.02,-0.41,0.59,0.16,-0.22,0.01,0.03,-0.35,-0.45,-0.64
47,1927,-0.22,-0.13,-0.29,-0.13,-0.15,-0.39,0.05,-0.22,-0.13,-0.14,-0.17,-0.31,-0.45,-1.39
48,1928,-0.2,-0.1,-0.29,-0.07,-0.14,-0.4,0.73,-0.17,-0.23,-0.14,-0.15,-0.29,-0.48,-2.13
49,1929,-0.36,-0.33,-0.38,-0.38,-0.27,-0.46,0.16,-0.62,-0.38,-0.27,-0.27,-0.43,-0.44,-1.09
50,1930,-0.15,-0.01,-0.29,0.04,-0.1,-0.42,0.55,0.04,-0.11,-0.09,-0.11,-0.33,-0.47,-2.6
51,1931,-0.09,0.05,-0.21,0.01,0.09,-0.43,0.58,-0.04,-0.14,0.11,0.07,-0.42,-0.4,-0.42
52,1932,-0.15,-0.05,-0.25,0.04,-0.15,-0.35,0.5,0.19,-0.21,-0.18,-0.12,-0.21,-0.53,-1.0
53,1933,-0.28,-0.25,-0.31,-0.24,-0.27,-0.34,-0.15,-0.47,-0.12,-0.28,-0.27,-0.22,-0.48,-1.16
54,1934,-0.12,0.0,-0.25,0.18,-0.24,-0.26,0.89,0.31,-0.13,-0.25,-0.23,-0.15,-0.38,-0.58
55,1935,-0.2,-0.09,-0.29,-0.04,-0.17,-0.38,0.36,-0.05,-0.16,-0.16,-0.19,-0.3,-0.42,-1.72
56,1936,-0.14,-0.03,-0.25,-0.02,-0.12,-0.3,0.41,0.1,-0.25,-0.04,-0.19,-0.27,-0.33,-0.04
57,1937,-0.03,0.12,-0.17,0.2,-0.05,-0.22,1.25,0.03,-0.03,0.01,-0.1,-0.19,-0.26,0.35
58,1938,0.0,0.16,-0.17,0.39,-0.22,-0.1,1.51,0.39,0.03,-0.18,-0.26,-0.06,-0.11,-0.87
59,1939,-0.02,0.09,-0.12,0.23,-0.12,-0.12,0.57,0.28,0.08,-0.11,-0.12,-0.04,-0.19,-1.61
60,1940,0.13,0.18,0.1,0.11,0.29,-0.07,1.01,-0.02,-0.09,0.27,0.3,0.03,-0.2,-0.06
61,1941,0.19,0.23,0.17,0.01,0.5,-0.05,0.01,-0.1,0.08,0.54,0.45,0.03,-0.15,-0.48
62,1942,0.07,0.13,0.01,0.13,0.08,-0.01,0.74,-0.07,0.06,0.11,0.04,0.06,-0.05,-0.91
63,1943,0.09,0.18,-0.01,0.37,-0.08,0.04,1.42,0.28,0.11,-0.11,-0.05,0.07,0.0,1.13
