Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S,CH[4],CO[2],N[2]*O,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound,NOAA Adjusted Sea Level
1880,-0.17,-0.29,-0.04,-0.37,-0.12,-0.02,-0.8,-0.48,-0.29,-0.16,-0.09,-0.04,0.05,0.66,109.839825798234,7897.38313333334,1.846730013569403,0.0,-0.952755905,0.952755905,
1881,-0.08,-0.18,0.01,-0.35,0.11,-0.07,-0.91,-0.43,-0.21,0.09,0.12,-0.05,-0.07,0.58,111.086810200912,7947.90770466666,1.867070365896361,0.220472441,-0.732283464,1.173228345,
1882,-0.11,-0.22,-0.01,-0.31,-0.04,0.01,-1.41,-0.26,-0.17,-0.06,-0.03,0.01,0.04,0.61,112.358352871944,8171.126698,1.884568742916042,-0.440944881,-1.346456692,0.464566929,
1883,-0.17,-0.29,-0.06,-0.35,-0.16,-0.01,-0.19,-0.54,-0.28,-0.18,-0.14,-0.04,0.07,0.49,113.74201563897,8411.15130133334,1.89979657093672,-0.232283464,-1.129921259,0.66535433,
1884,-0.28,-0.43,-0.14,-0.6,-0.14,-0.14,-1.3,-0.62,-0.48,-0.13,-0.15,-0.19,-0.02,0.64,114.611281922282,8472.98179266666,1.9133252679676471,0.590551181,-0.283464567,1.464566928,
1885,-0.33,-0.43,-0.24,-0.65,-0.13,-0.27,-1.5,-0.66,-0.47,-0.07,-0.18,-0.34,-0.15,0.81,115.47197277288,8495.95126533334,1.925726346231734,0.531496062,-0.330708661,1.393700786,
1886,-0.31,-0.43,-0.19,-0.57,-0.19,-0.21,-1.58,-0.49,-0.41,-0.21,-0.17,-0.2,-0.2,0.58,116.415941479104,8583.88731866666,1.937571147855134,0.437007874,-0.381889763,1.255905511,
1887,-0.36,-0.44,-0.28,-0.53,-0.29,-0.28,-1.76,-0.5,-0.31,-0.3,-0.29,-0.28,-0.26,0.31,117.723752059886,8792.915669333339,1.949431195814122,0.216535433,-0.602362204,1.03543307,
1888,-0.17,-0.23,-0.11,-0.42,0.11,-0.29,-1.29,-0.42,-0.26,0.07,0.15,-0.31,-0.23,0.15,119.477366088868,9021.073602,1.9618778911747456,0.299212598,-0.519685039,1.118110235,
1889,-0.1,-0.17,-0.03,-0.29,0.09,-0.16,-0.67,-0.21,-0.28,0.02,0.16,-0.15,-0.15,0.44,120.367812485262,9062.63155,1.975482704537702,0.362204724,-0.456692913,1.181102361,
1890,-0.35,-0.38,-0.32,-0.45,-0.36,-0.23,-1.14,-0.55,-0.27,-0.27,-0.46,-0.18,-0.27,0.14,122.19031735078,9518.615464,2.055650347642295,0.440944881,-0.374015748,1.255905511,
1891,-0.22,-0.26,-0.19,-0.43,-0.07,-0.22,-1.12,-0.34,-0.37,0.0,-0.15,-0.18,-0.24,-0.17,123.532473879764,9831.57484266666,2.077788454462982,0.374015748,-0.440944881,1.188976377,
1892,-0.27,-0.4,-0.15,-0.44,-0.29,-0.08,-1.13,-0.65,-0.18,-0.34,-0.25,0.02,-0.21,0.08,124.462523755332,9925.756828,2.101153991122504,0.499999999,-0.31496063,1.314960629,
1893,-0.31,-0.47,-0.15,-0.51,-0.36,-0.05,-0.65,-0.55,-0.48,-0.42,-0.29,0.07,-0.2,-0.05,125.02484020555,10028.91317666666,2.125428180989077,0.685039369,-0.114173228,1.484251967,
1894,-0.3,-0.38,-0.21,-0.32,-0.33,-0.24,-0.9,-0.32,-0.19,-0.48,-0.17,-0.15,-0.35,-0.39,126.407935141412,10193.81080333334,2.150292203672743,0.303149606,-0.547244094,1.153543306,
1895,-0.22,-0.3,-0.15,-0.4,-0.07,-0.26,-0.63,-0.52,-0.28,-0.14,0.01,-0.2,-0.32,-0.59,128.020503368298,10443.602906,2.175427027152221,0.767716535,-0.082677165,1.618110235,
1896,-0.11,-0.19,-0.03,-0.34,0.1,-0.16,-0.82,-0.36,-0.23,0.05,0.16,-0.16,-0.13,0.24,129.209749363232,10607.12106333334,2.200513980963383,0.468503937,-0.366141732,1.303149605,
1897,-0.11,-0.16,-0.05,-0.35,0.17,-0.24,-0.5,-0.46,-0.25,0.13,0.22,-0.2,-0.27,0.39,130.715823961394,10828.02972466666,2.225234101794016,0.673228346,-0.145669291,1.492125983,
1898,-0.27,-0.29,-0.26,-0.35,-0.22,-0.27,-1.13,-0.24,-0.24,-0.19,-0.25,-0.28,-0.21,0.37,132.30258931692,11066.89540333334,2.2492687769798447,1.043307086,0.267716535,1.818897636,
1899,-0.17,-0.21,-0.14,-0.24,-0.11,-0.19,-1.0,-0.09,-0.15,-0.16,-0.07,-0.16,-0.22,0.57,134.48530177369,11463.75574133334,2.272299008966104,1.338582676,0.574803149,2.102362203,
1900,-0.08,-0.09,-0.06,-0.2,0.18,-0.3,-0.52,-0.15,-0.15,0.09,0.27,-0.29,-0.29,0.26,136.33153558942,11895.29766266666,2.294006028618959,1.125984251,0.405511811,1.846456691,
1901,-0.15,-0.12,-0.18,-0.16,-0.03,-0.31,-0.36,-0.1,-0.15,-0.06,0.0,-0.28,-0.34,0.25,137.801228491868,12123.91853666666,2.317134664792717,1.110236219,0.417322834,1.803149604,
1902,-0.27,-0.32,-0.22,-0.51,-0.03,-0.35,-1.28,-0.49,-0.32,-0.03,-0.04,-0.28,-0.43,-0.06,139.062679162928,12356.761052000002,2.3440851492911223,1.291338581,0.61023622,1.972440943,
1903,-0.37,-0.37,-0.36,-0.45,-0.28,-0.39,-0.17,-0.41,-0.56,-0.24,-0.32,-0.36,-0.4,-0.5,141.488276313614,12755.121052,2.374021724505659,1.606299211,0.937007873,2.275590549,
1904,-0.47,-0.48,-0.46,-0.5,-0.46,-0.44,-0.12,-0.59,-0.55,-0.44,-0.48,-0.38,-0.49,-1.33,142.613456849968,12931.554216,2.406108400647658,1.2007874,0.53543307,1.86614173,
1905,-0.26,-0.29,-0.22,-0.4,-0.08,-0.36,-0.02,-0.22,-0.63,-0.12,-0.04,-0.33,-0.37,-0.34,144.427888240156,13297.96020933334,2.4395092744391818,0.984251968,0.377952756,1.590551179,
1906,-0.22,-0.24,-0.21,-0.25,-0.19,-0.24,-0.24,-0.06,-0.4,-0.22,-0.16,-0.21,-0.22,-0.72,146.69491252636402,13543.40925066666,2.473388500749382,1.251968503,0.673228346,1.83070866,
1907,-0.38,-0.47,-0.29,-0.58,-0.3,-0.29,-0.53,-0.71,-0.52,-0.31,-0.29,-0.21,-0.37,-1.21,150.209391998254,14325.96108266666,2.506910011935923,1.196850392,0.61023622,1.783464565,
1908,-0.43,-0.46,-0.4,-0.48,-0.44,-0.36,-0.19,-0.54,-0.52,-0.43,-0.44,-0.29,-0.48,0.67,150.297975670348,14165.79795866666,2.539238032340064,1.098425196,0.527559055,1.669291337,
1909,-0.48,-0.5,-0.47,-0.53,-0.48,-0.44,-0.71,-0.62,-0.45,-0.45,-0.51,-0.38,-0.52,-0.58,152.353217120624,14445.14811866666,2.5695366120329592,1.27559055,0.700787401,1.850393699,
1910,-0.43,-0.44,-0.43,-0.41,-0.48,-0.38,-0.53,-0.24,-0.5,-0.48,-0.48,-0.33,-0.45,0.15,154.319707948038,14692.18264,2.5969698065794398,1.271653542,0.696850393,1.846456691,
1911,-0.44,-0.42,-0.45,-0.42,-0.42,-0.48,-0.23,-0.42,-0.47,-0.43,-0.41,-0.44,-0.53,0.04,155.907933957662,14765.50778733334,2.627997257516115,1.598425195,1.039370078,2.157480313,
1912,-0.36,-0.46,-0.24,-0.59,-0.18,-0.37,-0.47,-0.79,-0.51,-0.27,-0.08,-0.37,-0.29,-1.64,157.659041668732,14952.84588933334,2.6682985683366978,1.476377951,0.917322834,2.035433069,
1913,-0.34,-0.42,-0.26,-0.44,-0.27,-0.35,-0.46,-0.33,-0.51,-0.39,-0.14,-0.29,-0.4,-1.05,160.608687990504,15463.46699666666,2.715869720541578,1.547244093,0.992125983,2.102362203,
1914,-0.15,-0.19,-0.1,-0.24,-0.06,-0.18,-0.32,-0.16,-0.29,-0.11,0.0,-0.16,-0.18,-0.37,158.972444348158,14801.900526,2.768700125743601,1.795275589,1.251968503,2.338582675,
1915,-0.14,-0.14,-0.13,-0.23,-0.01,-0.22,-0.56,-0.17,-0.19,-0.02,0.0,-0.15,-0.23,-1.99,159.744274465556,14621.723664,2.824790142980657,2.10629921,1.57086614,2.641732281,
1916,-0.36,-0.42,-0.3,-0.37,-0.45,-0.23,-0.41,-0.54,-0.25,-0.5,-0.39,-0.23,-0.17,-1.06,162.711159688078,15015.65411,2.882132014140942,2.031496061,1.519685038,2.543307084,
1917,-0.46,-0.58,-0.36,-0.5,-0.63,-0.19,-0.78,-0.5,-0.44,-0.69,-0.57,-0.23,-0.09,0.05,164.95267421059,15324.474412,2.938720235325435,1.854330707,1.350393699,2.358267714,
1918,-0.29,-0.4,-0.2,-0.41,-0.33,-0.14,-0.98,-0.27,-0.35,-0.38,-0.27,-0.06,-0.23,-0.29,164.510368378478,15269.397492,2.9925493105811656,1.791338581,1.291338581,2.29133858,
1919,-0.28,-0.35,-0.2,-0.44,-0.19,-0.23,-0.68,-0.56,-0.31,-0.23,-0.16,-0.15,-0.32,0.19,162.507995449256,14287.40398466666,3.0416152798929588,1.854330707,1.354330707,2.354330706,
1920,-0.27,-0.3,-0.24,-0.25,-0.25,-0.33,0.02,-0.2,-0.35,-0.37,-0.12,-0.19,-0.48,-1.15,167.009571479478,15541.64004266666,3.083909977988797,1.905511809,1.393700786,2.417322832,
1921,-0.19,-0.11,-0.26,0.02,-0.25,-0.31,0.04,0.17,-0.09,-0.29,-0.2,-0.23,-0.38,-0.85,164.207836986028,14896.43940733334,3.124060056157856,1.988188974,1.472440943,2.503937005,
1922,-0.28,-0.27,-0.29,-0.24,-0.31,-0.28,-0.27,-0.4,-0.14,-0.32,-0.31,-0.25,-0.29,-0.29,167.67099213680598,15308.84463333334,3.1672076268928957,1.952755904,1.433070865,2.472440942,
1923,-0.26,-0.22,-0.31,-0.15,-0.29,-0.34,0.21,-0.15,-0.26,-0.32,-0.26,-0.27,-0.41,-0.55,173.143886199652,16204.16815733334,3.2121183572334218,1.999999998,1.488188975,2.511811021,
1924,-0.27,-0.18,-0.35,-0.13,-0.25,-0.44,0.49,-0.25,-0.23,-0.26,-0.24,-0.4,-0.45,-0.54,175.150466277944,16284.475432,3.257559653782378,1.712598423,1.196850392,2.228346454,
1925,-0.22,-0.14,-0.3,-0.04,-0.23,-0.38,-0.05,0.18,-0.19,-0.28,-0.19,-0.25,-0.55,-0.87,176.825110661826,16475.40003666666,3.3022989543525814,1.791338581,1.255905511,2.326771651,
1926,-0.11,0.02,-0.21,0.03,0.02,-0.41,0.59,0.16,-0.22,0.01,0.03,-0.35,-0.45,-0.64,177.47163854708,16317.927918,3.345102632481561,2.047244092,1.507874014,2.586614171,
1927,-0.22,-0.13,-0.29,-0.13,-0.15,-0.39,0.05,-0.22,-0.13,-0.14,-0.17,-0.31,-0.45,-1.39,182.520504184466,17011.524436666663,3.384738754218756,2.003937006,1.496062991,2.511811021,
1928,-0.2,-0.1,-0.29,-0.07,-0.14,-0.4,0.73,-0.17,-0.23,-0.14,-0.15,-0.29,-0.48,-2.13,183.74933500436,17011.29640266666,3.4199736126497378,1.850393699,1.366141731,2.334645667,
1929,-0.36,-0.33,-0.38,-0.38,-0.27,-0.46,0.16,-0.62,-0.38,-0.27,-0.27,-0.43,-0.44,-1.09,187.799146549732,17604.09272133334,3.4495746205293134,1.905511809,1.429133857,2.381889761,
