Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.04,-.37,-.12,-.02,-.80,-.48,-.29,-.16,-.09,-.04,.05,.66
1881,-.08,-.18,.01,-.35,.11,-.07,-.91,-.43,-.21,.09,.12,-.05,-.07,.58
1882,-.11,-.22,-.01,-.31,-.04,.01,-1.41,-.26,-.17,-.06,-.03,.01,.04,.61
1883,-.17,-.29,-.06,-.35,-.16,-.01,-.19,-.54,-.28,-.18,-.14,-.04,.07,.49
1884,-.28,-.43,-.14,-.60,-.14,-.14,-1.30,-.62,-.48,-.13,-.15,-.19,-.02,.64
1885,-.33,-.43,-.24,-.65,-.13,-.27,-1.50,-.66,-.47,-.07,-.18,-.34,-.15,.81
1886,-.31,-.43,-.19,-.57,-.19,-.21,-1.58,-.49,-.41,-.21,-.17,-.20,-.20,.58
1887,-.36,-.44,-.28,-.53,-.29,-.28,-1.76,-.50,-.31,-.30,-.29,-.28,-.26,.31
1888,-.17,-.23,-.11,-.42,.11,-.29,-1.29,-.42,-.26,.07,.15,-.31,-.23,.15
1889,-.10,-.17,-.03,-.29,.09,-.16,-.67,-.21,-.28,.02,.16,-.15,-.15,.44
1890,-.35,-.38,-.32,-.45,-.36,-.23,-1.14,-.55,-.27,-.27,-.46,-.18,-.27,.14
1891,-.22,-.26,-.19,-.43,-.07,-.22,-1.12,-.34,-.37,.00,-.15,-.18,-.24,-.17
1892,-.27,-.40,-.15,-.44,-.29,-.08,-1.13,-.65,-.18,-.34,-.25,.02,-.21,.08
1893,-.31,-.47,-.15,-.51,-.36,-.05,-.65,-.55,-.48,-.42,-.29,.07,-.20,-.05
1894,-.30,-.38,-.21,-.32,-.33,-.24,-.90,-.32,-.19,-.48,-.17,-.15,-.35,-.39
1895,-.22,-.30,-.15,-.40,-.07,-.26,-.63,-.52,-.28,-.14,.01,-.20,-.32,-.59
1896,-.11,-.19,-.03,-.34,.10,-.16,-.82,-.36,-.23,.05,.16,-.16,-.13,.24
1897,-.11,-.16,-.05,-.35,.17,-.24,-.50,-.46,-.25,.13,.22,-.20,-.27,.39
1898,-.27,-.29,-.26,-.35,-.22,-.27,-1.13,-.24,-.24,-.19,-.25,-.28,-.21,.37
1899,-.17,-.21,-.14,-.24,-.11,-.19,-1.00,-.09,-.15,-.16,-.07,-.16,-.22,.57
1900,-.08,-.09,-.06,-.20,.18,-.30,-.52,-.15,-.15,.09,.27,-.29,-.29,.26
1901,-.15,-.12,-.18,-.16,-.03,-.31,-.36,-.10,-.15,-.06,.00,-.28,-.34,.25
1902,-.27,-.32,-.22,-.51,-.03,-.35,-1.28,-.49,-.32,-.03,-.04,-.28,-.43,-.06
1903,-.37,-.37,-.36,-.45,-.28,-.39,-.17,-.41,-.56,-.24,-.32,-.36,-.40,-.50
1904,-.47,-.48,-.46,-.50,-.46,-.44,-.12,-.59,-.55,-.44,-.48,-.38,-.49,-1.33
1905,-.26,-.29,-.22,-.40,-.08,-.36,-.02,-.22,-.63,-.12,-.04,-.33,-.37,-.34
1906,-.22,-.24,-.21,-.25,-.19,-.24,-.24,-.06,-.40,-.22,-.16,-.21,-.22,-.72
1907,-.38,-.47,-.29,-.58,-.30,-.29,-.53,-.71,-.52,-.31,-.29,-.21,-.37,-1.21
1908,-.43,-.46,-.40,-.48,-.44,-.36,-.19,-.54,-.52,-.43,-.44,-.29,-.48,.67
1909,-.48,-.50,-.47,-.53,-.48,-.44,-.71,-.62,-.45,-.45,-.51,-.38,-.52,-.58
1910,-.43,-.44,-.43,-.41,-.48,-.38,-.53,-.24,-.50,-.48,-.48,-.33,-.45,.15
1911,-.44,-.42,-.45,-.42,-.42,-.48,-.23,-.42,-.47,-.43,-.41,-.44,-.53,.04
1912,-.36,-.46,-.24,-.59,-.18,-.37,-.47,-.79,-.51,-.27,-.08,-.37,-.29,-1.64
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.46,-.33,-.51,-.39,-.14,-.29,-.40,-1.05
1914,-.15,-.19,-.10,-.24,-.06,-.18,-.32,-.16,-.29,-.11,.00,-.16,-.18,-.37
1915,-.14,-.14,-.13,-.23,-.01,-.22,-.56,-.17,-.19,-.02,.00,-.15,-.23,-1.99
1916,-.36,-.42,-.30,-.37,-.45,-.23,-.41,-.54,-.25,-.50,-.39,-.23,-.17,-1.06
1917,-.46,-.58,-.36,-.50,-.63,-.19,-.78,-.50,-.44,-.69,-.57,-.23,-.09,.05
1918,-.29,-.40,-.20,-.41,-.33,-.14,-.98,-.27,-.35,-.38,-.27,-.06,-.23,-.29
1919,-.28,-.35,-.20,-.44,-.19,-.23,-.68,-.56,-.31,-.23,-.16,-.15,-.32,.19
1920,-.27,-.30,-.24,-.25,-.25,-.33,.02,-.20,-.35,-.37,-.12,-.19,-.48,-1.15
1921,-.19,-.11,-.26,.02,-.25,-.31,.04,.17,-.09,-.29,-.20,-.23,-.38,-.85
1922,-.28,-.27,-.29,-.24,-.31,-.28,-.27,-.40,-.14,-.32,-.31,-.25,-.29,-.29
1923,-.26,-.22,-.31,-.15,-.29,-.34,.21,-.15,-.26,-.32,-.26,-.27,-.41,-.55
1924,-.27,-.18,-.35,-.13,-.25,-.44,.49,-.25,-.23,-.26,-.24,-.40,-.45,-.54
1925,-.22,-.14,-.30,-.04,-.23,-.38,-.05,.18,-.19,-.28,-.19,-.25,-.55,-.87
1926,-.11,.02,-.21,.03,.02,-.41,.59,.16,-.22,.01,.03,-.35,-.45,-.64
1927,-.22,-.13,-.29,-.13,-.15,-.39,.05,-.22,-.13,-.14,-.17,-.31,-.45,-1.39
1928,-.20,-.10,-.29,-.07,-.14,-.40,.73,-.17,-.23,-.14,-.15,-.29,-.48,-2.13
1929,-.36,-.33,-.38,-.38,-.27,-.46,.16,-.62,-.38,-.27,-.27,-.43,-.44,-1.09
1930,-.15,-.01,-.29,.04,-.10,-.42,.55,.04,-.11,-.09,-.11,-.33,-.47,-2.60
1931,-.09,.05,-.21,.01,.09,-.43,.58,-.04,-.14,.11,.07,-.42,-.40,-.42
1932,-.15,-.05,-.25,.04,-.15,-.35,.50,.19,-.21,-.18,-.12,-.21,-.53,-1.00
1933,-.28,-.25,-.31,-.24,-.27,-.34,-.15,-.47,-.12,-.28,-.27,-.22,-.48,-1.16
1934,-.12,.00,-.25,.18,-.24,-.26,.89,.31,-.13,-.25,-.23,-.15,-.38,-.58
1935,-.20,-.09,-.29,-.04,-.17,-.38,.36,-.05,-.16,-.16,-.19,-.30,-.42,-1.72
1936,-.14,-.03,-.25,-.02,-.12,-.30,.41,.10,-.25,-.04,-.19,-.27,-.33,-.04
1937,-.03,.12,-.17,.20,-.05,-.22,1.25,.03,-.03,.01,-.10,-.19,-.26,.35
1938,.00,.16,-.17,.39,-.22,-.10,1.51,.39,.03,-.18,-.26,-.06,-.11,-.87
1939,-.02,.09,-.12,.23,-.12,-.12,.57,.28,.08,-.11,-.12,-.04,-.19,-1.61
1940,.13,.18,.10,.11,.29,-.07,1.01,-.02,-.09,.27,.30,.03,-.20,-.06
1941,.19,.23,.17,.01,.50,-.05,.01,-.10,.08,.54,.45,.03,-.15,-.48
1942,.07,.13,.01,.13,.08,-.01,.74,-.07,.06,.11,.04,.06,-.05,-.91
1943,.09,.18,-.01,.37,-.08,.04,1.42,.28,.11,-.11,-.05,.07,.00,1.13
1944,.20,.27,.14,.38,.19,.05,1.19,.47,.10,.11,.27,.18,-.10,-.95
1945,.09,.11,.09,.11,.17,-.03,.64,-.03,.04,.10,.24,.03,.00,-1.79
1946,-.07,.03,-.17,.07,-.04,-.24,-.02,-.05,.17,-.02,-.06,-.22,-.24,-.19
1947,-.03,.08,-.13,.16,-.06,-.17,1.07,-.13,.05,-.03,-.08,-.20,-.08,-.23
1948,-.10,-.01,-.19,.13,-.18,-.24,.12,.31,.01,-.23,-.13,-.20,-.19,-1.39
1949,-.11,-.02,-.19,.12,-.19,-.23,.21,.17,.05,-.23,-.14,-.18,-.15,-1.99
1950,-.17,-.15,-.20,-.05,-.29,-.15,.20,-.31,.04,-.30,-.27,-.06,-.16,-.87
1951,-.07,.05,-.18,.08,-.06,-.23,.09,.01,.12,.00,-.11,-.22,-.16,-.70
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.10,-.02,-.51
